a2-action-kernels-are-recursive		
a2-boone-higman-via-rs-two-graph-full-groups		
a2-group-embeds-in-full-group-of-its-rs-two-graph	**ESTABLISHED** (2026-09-18) by `a2-group-embeds-in-rs-two-graph-geometric-proof`. That is	
a2-group-embeds-in-rs-two-graph-geometric-proof		
a2-lattice-boundary-skew-shifts-are-quantum-rigid	**ESTABLISHED** (lane proof; bh-invent-12, 2026-09-18; not independently reviewed; no priority	
a2-lattices-embed-in-fp-simple-groups	**ESTABLISHED** (lane proof, bh-groupoid 2026-09-18, below; not independently reviewed; no	
a2-lattices-lie-in-permutational-bh-class	**ESTABLISHED** (duplicate of `a2-lattices-satisfy-permutational-boone-higman`, which has priority; both are subsumed by `euclidean-building-lattices-	
a2-lattices-pbh-via-stabilized-orbit-category		
a2-lattices-satisfy-permutational-boone-higman	**ESTABLISHED** through `a2-lattices-pbh-via-stabilized-orbit-category` (lane proof;	
a2-rs-matrices-irreducible-and-primitive-iff-type-transitive	**ESTABLISHED** (lane proof, bh-groupoid 2026-09-18, inline below; not independently	
abelian-lamp-wreaths-are-rf-iff-stabilizers-are-closed	**ESTABLISHED** (lane proof, elementary, not reviewed). No priority is claimed: this is	
abelian-subgroups-of-out-free-virtually-lift-to-aut	**ESTABLISHED** (citation import plus a two-line argument; no novelty claimed).	
abstract-btb-pairs-fp-via-colored-stein-complex		
abstract-twisted-bt-colored-subgroup-proof		
abstract-twisted-bt-group-is-colored-subgroup-of-faithful-one	**ESTABLISHED** by `abstract-twisted-bt-colored-subgroup-proof` (lane proof, elementary).	 | Referee a (proof gaps): **PASS**, | applied. Referee c (independent second pass): **PASS**,
abstract-twisted-bt-type-fn-colored-stein-proof		
abstract-twisted-bt-type-fn-criterion	**ESTABLISHED** by `abstract-twisted-bt-type-fn-colored-stein-proof` (lane proof, 2026-09-18).	 | Referee a (proof gaps): **PASS**, | applied. Referee c (independent second pass): **PASS**, | Referee b (citations): **PASS** (68ed8a399). No priority claimed; bounded literature search
admissible-artin-pbh-reduces-to-free-partial-mapping-tori	**ESTABLISHED** (lane proof, in the body; not independently reviewed). No priority is claimed.	
admissibly-oriented-artin-groups-satisfy-boone-higman		
aff-q-bh-via-stein-interval-exchange-groups		
aff-q-embeds-in-a-stein-interval-exchange-group		
affine-self-similar-groups-are-function-field-linear	**ESTABLISHED** by the proof below (lane bh-free-25, 2026-09-18; elementary, not	
affine-self-similar-hosts-are-exactly-global-field-linear	**ESTABLISHED** by the proof below (lane bh-free-25, 2026-09-18; elementary, not	
affine-thickening-hosts-are-never-fp	**ESTABLISHED** (elementary; written inline by lane bh-free-59, not independently	
affine-type-a-structure-groups-give-fp-simple-hosts	**ESTABLISHED** (lane proof, not reviewed). It isolates exactly what the proofs of	
algebra-bh-via-simple-self-similar-completions		
algebra-boone-higman-conjecture		
algebraic-interval-exchange-groups-satisfy-boone-higman	**ESTABLISHED** (lane proof, not reviewed; no priority claimed).	
all-hyperbolic-groups-lie-in-one-fp-simple-group		
all-hyperbolic-groups-one-fp-simple-host-via-nv		
almost-all-one-relator-groups-bh-proof		
almost-all-one-relator-groups-satisfy-boone-higman	**ESTABLISHED** through `almost-all-one-relator-groups-bh-proof`. Lane proof	
almost-automorphism-torsion-subgroups-are-rf-proof		
almost-automorphism-torsion-subgroups-are-rf		
almost-v-torsion-localization-proof		
alternating-group-is-generated-by-local-commutators-proof		
alternating-group-is-generated-by-local-commutators	**ESTABLISHED** through `alternating-group-is-generated-by-local-commutators-proof` (lane proof,	
amalgams-of-orbit-finite-actions-are-type-a2	**ESTABLISHED** (lane bh-invent-02, 2026-09-18; lane proof, elementary Bass–Serre theory,	
amenable-crossed-product-units-are-linear-sofic	**ESTABLISHED** (lane proof, bh-algebra, elementary given the rank-model node; not reviewed).	
amenable-groupoid-full-groups-are-exact		
amir-lazarovich-lattice-torsion-is-square-diagonals	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed). It is a reduction of	
amir-lazarovich-plus-subgroup-is-perfect	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed).	
amir-lazarovich-simple-lattice-has-torsion-iff-index-four	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed).	
amir-lazarovich-simple-lattices-have-torsion-proof		
amir-lazarovich-simple-lattices-have-torsion	**ESTABLISHED** (lane proof, not reviewed; route	
analytic-codings-make-contracting-recursions-analytic-proof		
analytic-codings-make-contracting-recursions-analytic	**ESTABLISHED** through `analytic-codings-make-contracting-recursions-analytic-proof` (lane	
annular-free-factor-germ-extensions-fail-bhm-singfix	**ESTABLISHED** by `annular-free-factor-singfix-colimit-proof` (lane proof, elementary	
annular-free-factor-singfix-colimit-proof		
annular-free-product-germ-hosts-are-not-finitely-presented	**ESTABLISHED** by `annular-free-product-hosts-not-fp-proof` (lane proof, elementary; not	
annular-free-product-hosts-not-fp-proof		
annular-free-zoom-window-equations-proof		
annular-hosts-with-free-zoom-germs-are-not-finitely-presented	**ESTABLISHED** by `annular-free-zoom-window-equations-proof` (lane proof, elementary;	
aperiodic-full-groups-lift-along-factor-maps	**ESTABLISHED** (lane proof below, elementary; not independently reviewed; no novelty claimed).	
aperiodic-point-stabilizers-in-germ-extensions-of-v-are-not-fg	**ESTABLISHED** (lane proof, elementary, not independently reviewed; no priority claimed).	
arbitrarily-complex-fp-simple-via-transcendental-slope-thompson		
arithmetic-lie-lattices-faithful-bs-proof		
arithmetic-lie-lattices-have-faithful-bs-members	**ESTABLISHED** through `arithmetic-lie-lattices-faithful-bs-proof` (lane proof; referee a	 | PASS, `research/artifacts/gq-referee-a-arithmetic-lie-lattices-and-hyperbolic-plane-tree.md`; referee b PASS,
arithmetic-nsp-faithful-bs-member-proof		
arithmetic-nsp-lattices-have-faithful-bs-members	**ESTABLISHED** through `arithmetic-nsp-faithful-bs-member-proof` (lane proof,	 | elementary apart from the cited normal subgroup theorems; referee a PASS, | `research/artifacts/gq-referee-a-bs-class-faithful-member-and-cat0-tree-factor.md`; referee b PASS,
artin-deligne-boundary-actions-are-topologically-free	**ESTABLISHED** (lane proof, elementary Garside theory, not reviewed; no priority claimed).	
artin-groups-embed-in-decorated-garside-odometer-groups	**ESTABLISHED** (corrected 2026-09-18; lane proof, not reviewed). The statement is	
artin-groups-mod-central-garside-power-are-continuous-automatic	**ESTABLISHED** (lane proof, not reviewed; no priority claimed). Proof:	
artin-groups-satisfy-boone-higman		
artin-hub-cones-reduce-pbh-to-coned-cliques-proof		
artin-hub-cones-reduce-pbh-to-coned-cliques	**ESTABLISHED** (route `artin-hub-cones-reduce-pbh-to-coned-cliques-proof`; lane proof, not independently reviewed). It inherits the status of `artin-	
artin-mod-central-garside-continuous-automatic-proof		
artin-normal-form-boundary-full-groups-fix-a-point	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed).	
artin-ordinary-foldings-are-retractions-proof		
artin-ordinary-foldings-are-retractions	**ESTABLISHED** (route `artin-ordinary-foldings-are-retractions-proof`; lane proof, elementary, not independently reviewed). No priority is claimed: t	
artin-pbh-reduces-along-folding-separators-proof		
artin-pbh-reduces-along-folding-separators	**ESTABLISHED** (route `artin-pbh-reduces-along-folding-separators-proof`; lane proof, not independently reviewed). It inherits the status of `pbh-cla	
artin-pbh-reduces-to-free-of-infinity-artin-groups-proof		
artin-pbh-reduces-to-free-of-infinity-artin-groups	**ESTABLISHED** (route `artin-pbh-reduces-to-free-of-infinity-artin-groups-proof`; lane proof, not independently reviewed). It inherits the status of 	
artin-pbh-reduces-to-odd-component-cliques		 | **Verification (bh-verify-artin, 2026-09-18; lane check, not an external review).** PASS. The retraction lemma
ascending-hnn-of-free-groups-bh-proof		
ascending-hnn-of-free-groups-satisfy-boone-higman	**ESTABLISHED** through `ascending-hnn-of-free-groups-bh-proof`.	 | (adversarial, non-referee): PASS, `research/artifacts/gq-bh-bh-refute-verify-ascending-hnn.md`
ascending-hnn-of-isolated-groups-embed-in-isolated-groups	**ESTABLISHED** through `ascending-hnn-of-isolated-groups-proof`. Lane proof (bh-free-05),	
ascending-hnn-of-isolated-groups-proof		
attracting-fixed-point-centralizers-embed-in-germ-groups	**ESTABLISHED** (lane proof, elementary; not independently reviewed; no priority claimed).	
aut-free-groups-quasi-isometrically-embed-in-fp-simple-groups	**ESTABLISHED** through `aut-free-qi-embedding-in-twisted-brin-thompson-proof` (a lane proof, not	
aut-free-qi-embedding-in-twisted-brin-thompson-proof		
aut-out-free-abelianized-extension-virtually-splits-proof		
aut-out-free-abelianized-extension-virtually-splits	**ESTABLISHED** by `aut-out-free-abelianized-extension-virtually-splits-proof`	 | (lane proof, elementary; gq-referee-a PASS; no novelty claimed). | **Review.** gq-referee-b PASS | - **Review.** gq-referee-a: PASS for items 1–3, with the W1 wording fix above
aut-out-free-nilpotent-tower-virtually-splits	**OPEN** for `n ≥ 3` and `c ≥ 2`. Class `c = 1` is	
automatic-actor-twisted-brin-thompson-groups-have-pspace-wp	**ESTABLISHED** through `automatic-actor-twisted-brin-thompson-wp-proof` (lane proof, elementary;	
automatic-actor-twisted-brin-thompson-wp-proof		
automatic-groups-bh-via-normal-form-germ-extensions		
automatic-groups-embed-in-corner-germ-extensions		
automatic-groups-satisfy-boone-higman		
automaton-groups-bh-via-lift-presented-overgroups		
automaton-groups-embed-in-lift-presented-automaton-groups		
automaton-groups-satisfy-boone-higman		
automaton-tail-full-groups-have-conp-relative-word-problem-proof		
automaton-tail-full-groups-have-conp-relative-word-problem	**ESTABLISHED** by `automaton-tail-full-groups-have-conp-relative-word-problem-proof`	
automorphism-twisted-shell-actions-have-finitely-many-orbits	**ESTABLISHED** (lane proof below; elementary; not independently reviewed; no novelty claimed).	
automorphisms-fixing-open-boundary-sets-fix-large-balls	**ESTABLISHED** through `open-boundary-fixers-fix-balls-proof` (lane proof; not	
b-a-groups-embed-in-full-hosts-with-free-torsion		
b-tilde-artin-groups-satisfy-permutational-boone-higman	- **BFFHZ**, arXiv:2503.21882v2, after Corollary B, as quoted in	 | **Verification (bh-verify-artin, 2026-09-18; lane check, not an external review).** PASS. It is independent of
b-tilde-artin-groups-via-one-cone-point-fibration-proof		
b-tilde-artin-groups-via-one-cone-point-fibration	**ESTABLISHED** through `b-tilde-artin-groups-via-one-cone-point-fibration-proof`. This	
b3-center-first-germ-condition-proof		
b3-center-first-normal-form-passes-the-germ-condition	**ESTABLISHED** by `b3-center-first-germ-condition-proof` (lane proof, elementary, not	
b3-deligne-boundary-is-nonsingular-rank-three-is-not	**ESTABLISHED** (lane proof by a finite table and an elementary word argument, not	
bartholdi-multi-substitution-hnn-surjects-onto-free-group	**ESTABLISHED** (elementary; checked by hand on generators). Honest status: this is a gap in	
basilica-fp-amenable-hnn-satisfies-boone-higman	**ESTABLISHED** (lane proof below plus the general theorem; not reviewed; no priority	
baum-connes-with-coefficients-separates-boone-higman	**ESTABLISHED** (lane proof, three lines; one input is cited and not re-read). No priority claimed.	
baumslag-gersten-group-is-highly-transitive-and-mif	**ESTABLISHED** (lane proof from imported theorems read at source; not reviewed; no	
baumslag-gersten-group-maps-onto-higman-groups	**ESTABLISHED** (lane proof, elementary Reidemeister--Schreier; not reviewed; no priority	
baumslag-gersten-group-satisfies-boone-higman		
baumslag-gersten-pbh-reduces-to-higman-group-and-a-lamp-wreath	**ESTABLISHED** (conditional implication; lane proof, elementary; no priority claimed). Reviewed:	 | gq-referee-a PASS (`research/artifacts/gq-referee-a-baumslag-gersten-pbh-reduces-to-higman-group-and-a-lamp-wr
baumslag-gersten-splits-over-bs12-edges	**ESTABLISHED** (lane proof, elementary; no priority claimed). Reviewed: gq-referee-a PASS	
baumslag-solitar-and-free-by-cyclic-satisfy-boone-higman		
baumslag-solitar-groups-are-free-by-metabelian	**ESTABLISHED** (lane proof below, elementary, not reviewed; no priority claimed: this is	
bbmz-oligomorphic-and-twisted-questions-are-pbh-forms	**ESTABLISHED** by `bbmz-oligomorphic-twisted-questions-proof` (lane proof, elementary, assembling	 | landed nodes). Referee a (proof gaps): PASS in | nit N2 applied. Referee b (citations): PASS,
bbmz-oligomorphic-twisted-questions-proof		
bell-generalized-cobham-theorem-citation		
bell-generalized-cobham-theorem	**ESTABLISHED** (citation; route `bell-generalized-cobham-theorem-citation`). Not reproved here.	
