a2-kernel-removal-iff-image-satisfies-pbh | claim | rb=0 | ESTABLISHED** by `a2-kernel-removal-iff-image-pbh-proof` | The kernel of a type [A_2] action can be removed exactly when the action image embeds in a group with a type (A_2) action
admissibly-oriented-artin-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Every Artin group whose defining graph admits an admissible partial orientation embeds in a finitely presented simple group
algebraic-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED | Every finitely generated linear group over a number field embeds in a finitely presented simple group
artin-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Every Artin group with solvable word problem embeds in a finitely presented simple group
aut-free-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED (literature import) | Every Aut(F_n) embeds in a finitely presented simple twisted Brin--Thompson group
automatic-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Every automatic group embeds in a finitely presented simple group
b-tilde-artin-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED | Every Euclidean Artin group of type B̃_n embeds in Aut(F_M), satisfies permutational Boone--Higman, and embeds in a finitely presented simple group
baumslag-char-zero-metabelian-group-satisfies-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-12)** through | Baumslag's torsion-free finitely presented metabelian group Z[x^±1,(1+x)^-1] x| Z^2 embeds in a finitely presented simple group
baumslag-gersten-group-satisfies-boone-higman | claim | rb=0 | OPEN | The Baumslag--Gersten group embeds in a finitely presented simple group
baumslag-solitar-and-free-by-cyclic-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (literature import) | All Baumslag--Solitar groups and all free-by-cyclic groups embed in finitely presented simple groups
bh-implies-pbh-iff-fp-simple-groups-satisfy-pbh | claim | rb=0 | ESTABLISHED** through `bh-implies-pbh-iff-fp-simple-groups-satisfy-pbh | Boone--Higman implies permutational Boone--Higman exactly when every finitely presented simple group embeds in a finitely presented simple highly transitive group
binary-leavitt-unit-group-satisfies-pbh | claim | rb=0 | ESTABLISHED (2026-09-13)** through `leavitt-pbh-via-cantor-module-affi | The binary Leavitt unit group embeds in a finitely presented group with a type (A) action
boone-higman-iff-isolated-hosts-and-local-boone-higman | claim | rb=0 | ESTABLISHED** through `boone-higman-iff-isolated-hosts-and-local-boone | Boone--Higman is equivalent to the conjunction of Cornulier--Guyot--Pitsch Question 4 and Local Boone--Higman
boone-higman-via-isolated-overgroup-and-local-boone-higman | route | rb=0 | known | Place the input in an isolated group, then realize that group's one existential sentence in a finitely presented simple group
boone-higman-via-kazhdan-boone-higman | route | rb=0 |  | A finitely presented simple Kazhdan host is in particular a finitely presented simple host
boone-higman-via-local-boone-higman | route | rb=0 |  | Realize one finite system, the relators of a decidable finitely presented envelope and one element of its simple subgroup, in a finitely presented simple group
boone-higman-via-permutational-boone-higman | route | rb=0 | conditional | Place every decidable input inside a type (A) actor and take its twisted Brin-Thompson group
c-tilde-artin-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED | Every Euclidean Artin group of type C̃_n embeds in B_(n+2), satisfies permutational Boone--Higman, and embeds in a finitely presented simple group
cat0-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Every CAT(0) group embeds in a finitely presented simple group
centerless-fp-finitely-many-conjugacy-classes-gives-pbh | claim | rb=0 | ESTABLISHED** through `centerless-finite-conjugacy-classes-pbh-proof` | A finitely presented group with trivial center and finitely many conjugacy classes satisfies permutational Boone--Higman
char-p-linear-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-13)** through | Every finitely generated linear group in positive characteristic lies in a finitely presented self-similar group, hence in the permutational Boone--Higman class
char-two-curve-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (conditional on the imported finite presentation of | Finitely generated linear groups over characteristic-two fields of transcendence degree at most one satisfy Boone--Higman
char-two-curve-linear-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-13)** through `char-two-linear-pbh-via-binary-lea | Finitely generated linear groups over characteristic-two fields of transcendence degree at most one, and linear groups over free F_(2^k)-algebras, satisfy permutat
char-two-laurent-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (conditional on the imported finite presentation of | Linear groups over F_q[t,1/t] and over free F_q-algebras satisfy Boone--Higman when q is a power of two
char-two-leavitt-path-unit-groups-satisfy-pbh | claim | rb=0 | ESTABLISHED (2026-09-13)** through `char-two-leavitt-path-pbh-via-bina | Unit groups of Leavitt path algebras of countable graphs with finitely many vertices, over finite fields of characteristic two, satisfy permutational Boone--Higman
char-two-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-12)** through | Every finitely generated linear group over a field of characteristic two satisfies Boone--Higman
char-two-surface-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (conditional on the imports behind | Finitely generated linear groups over characteristic-two fields of transcendence degree at most two satisfy Boone--Higman
char-zero-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-12)** through | Every finitely generated linear group over a field of characteristic zero satisfies Boone--Higman
