action	lane	given	key	start_line	old_status	new_status	how	reasons	sentence	row_note
SKIP	chain-itinerary	c825bc73828a	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.Pestov91.isLEFRing_of_monotone_subrings GroupApproximation.Pestov91.isLEFRing_of_monotone_ringHom_range GroupApproximation.Pestov91.isLEFRing_of_forall_finset_subset_range GroupApproximation.Pestov91.IsLEFRing.of_injective (ms-core-1 sweep 09-13: stale partial half (the R_{Y_*} instance and crossed-product half are closed); key graded by ms-core-2 formalized row)		chain-itinerary: tex lines 1444–1445 "Thus R_{Y_*} is an increasing union of LEF rings and is LEF." Ring half carried: a ring whose finite subsets each lie in the image of an injective ring homomorphism from an LEF ring
SKIP	chain-itinerary	2df08eeac3cb	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.Pestov91.CrossedProduct.coeffMap GroupApproximation.Pestov91.CrossedProduct.coeffMap_single GroupApproximation.Pestov91.CrossedProduct.coeff_coeffMap GroupApproximation.Pestov91.CrossedProduct.coeffMap_injective GroupApproximation.Pestov91.CrossedProduct.coeffMap_surjective GroupApproximation.Pestov91.CrossedProduct.coeffMap_C GroupApproximation.ChainCore.exists_forall_proj_eq_imp_of_locallyConstant (ms-core-1 sweep 09-13: stale partial half (the R_{Y_*} instance and crossed-product half are closed); key graded by ms-core-2 formalized row)		chain-itinerary: tex lines 1442–1444 "Coefficient pullback gives injective unital maps of crossed products, and every locally constant function is constant on a sufficiently fine partition." Crossed-product half carried:
SKIP	chain-itinerary	fe2bd83087c0	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.ChainCore.itinerary GroupApproximation.ChainCore.itinerarySubshift GroupApproximation.ChainCore.oneBlock GroupApproximation.ChainCore.continuous_itinerary GroupApproximation.ChainCore.itinerary_zpow_apply GroupApproximation.ChainCore.isClosed_itinerarySubshift GroupApproximation.ChainCore.mapsTo_shift_itinerarySubshift GroupApproximation.ChainCore.continuous_oneBlock GroupApproximation.ChainCore.oneBlock_shift GroupApproximation.ChainCore.oneBlock_itinerary GroupApproximation.ChainCore.oneBlock_image_itinerarySubshift (census successor ms-cite-2 09-13: chain-itinerary is down; ms-compress-1 re-graded this row at bd7b20b28, carrying its residual (the cores Y_m, now itineraryCore), and its row now grades the sentence)		chain-itinerary: tex lines 1429–1432 "Let $\pi_m\colon X\to X_m$ be their itinerary subshifts, and let $Y_m$ be the cores just constructed. Refinement gives one-block factor maps $\rho_{lm}\colon X_l\to X_m$." Carried: f
SKIP	chain-itinerary	ed348643e2ad	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.ChainCore.inverseLimitCore GroupApproximation.ChainCore.mem_inverseLimitCore GroupApproximation.ChainCore.isClosed_inverseLimitCore GroupApproximation.ChainCore.itinerary_mem_of_le GroupApproximation.ChainCore.preimage_itinerary_antitone GroupApproximation.ChainCore.mapsTo_zpow_inverseLimitCore (census successor ms-cite-2 09-13: chain-itinerary is down; ms-compress-1 re-graded this row at bd7b20b28, carrying its residual (rho_lm(Y_l) subset Y_m, now oneBlock_image_itineraryCore_subset), and its row now grades the sentence)		chain-itinerary: tex lines 1433–1438 "Thus $\rho_{lm}(Y_l)\subseteq Y_m$, and \[ Y_* =\bigcap_m\pi_m^{-1}(Y_m),\qquad \pi_m(Y_*)=\bigcap_{l\ge m}\rho_{lm}(Y_l). \]" Display half carried: for antitone partitions and any f
SKIP	chain-itinerary	807793f12a5e	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.ChainCore.itinerary_image_inverseLimitCore GroupApproximation.ChainCore.inverseLimitCore_nonempty (census successor ms-cite-2 09-13: chain-itinerary is down; ms-compress-1 re-graded this row at bd7b20b28, carrying its residual (the instance for the cores, now itinerary_image_generalCore), and its row now grades the sentence)		chain-itinerary: tex line 1439 "The second equality follows from compactness in the fibers." Carried on a compact space: for antitone partitions and any closed family Y_m ⊆ X_m with ρ_lm(Y_l) ⊆ Y_m, π_m(Y_*) = ⋂_{l≥m} ρ_
SKIP	chain-reflection	715cbd0f3410	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.matrixUnitCornerHom GroupApproximation.map_eq_zero_of_forall_entry_mem (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1534-1535, "Apply the preceding argument to the unital map r -> phi(rE_11) into this corner"; the corner map is a unital ring hom into Corner A e, and map_eq_zero_of_forall_entry_mem applies the ker
SKIP	chain-reflection	30a44485e5e8	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.map_eq_zero_of_forall_entry_mem GroupApproximation.killsKernelOfDirectlyFinite_mapMatrix (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1535-1536, "Multiplication by the other matrix units shows that phi kills M_m(I)"; single i j x = single i i x * single i j 1, summed over entries, for any set killed by all unital maps into directl
SKIP	chain-reflection	400dde0dbd9d	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.isUniversalQuotients_of_surjective GroupApproximation.existsUnique_comp_eq_of_surjective (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1529-1530, "Since R_Y itself is LEF and therefore stably finite, all three universal properties follow"; proved for any surjective f with LEF target whose kernel is killed by unital maps into direct
SKIP	chain-reflection	42c043ef7ab5	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.IsUniversalDirectlyFiniteQuotient GroupApproximation.isUniversalQuotients_of_surjective (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1518-1519, "Every unital homomorphism from R_X to a directly finite ring factors uniquely through restriction R_X -> R_Y"; first conjunct of isUniversalQuotients_of_surjective, abstract surjection.
SKIP	chain-reflection	8981cd70915a	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.IsUniversalStablyFiniteQuotient GroupApproximation.IsUniversalLEFQuotient GroupApproximation.isUniversalQuotients_of_surjective (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1519-1520, "This is also the universal stably finite and LEF ring quotient"; second and third conjuncts, abstract surjection. Partial: R_X instance pending the printed assembly; LEFStablyFiniteInter
SKIP	chain-reflection	43afa4ee3f10	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.isUniversalQuotients_mapMatrix GroupApproximation.mapMatrix_surjective_of_surjective (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1520-1521, "The same assertions hold for M_m(R_X) -> M_m(R_Y) for every m>=1"; all three universal properties for f.mapMatrix on Fin m. Partial: R_X instance pending the printed assembly. LANDED 578
SKIP	chain-reflection	f2baa4a46f78	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.Pestov91.IsLEFRing.matrix GroupApproximation.isUniversalQuotients_mapMatrix (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1536-1537, "Its quotient M_m(R_Y) is LEF, as follows entrywise from finite ring tables"; IsLEFRing.matrix (on main) gives M_m(S) LEF from S LEF. Partial: R_Y LEF pending chain-itinerary. LANDED 578e
SKIP	chain-reflection	cfbacaa0fffa	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.directlyFinite_iff_stablyFinite_iff_lef_iff_injective (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1521-1523, "R_X is directly finite if and only if it is stably finite, if and only if it is LEF, if and only if every point of X is chain recurrent"; DF iff SF iff LEF iff f injective for an abstrac
SKIP	chain-reflection	b23e0f5197b5	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.directlyFinite_iff_stablyFinite_iff_lef_iff_injective (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1538, "Finally, I=0 exactly when X=Y, giving the stated equivalences"; the deduction from I = 0 (f injective) is formalized abstractly. Partial: I = 0 iff X = Y pending chain-matricial. LANDED 578ec
SKIP	chain-reflection	9dae685e37b9	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.KillsKernelOfDirectlyFinite (ms-core-1 sweep 09-13: stale partial (printed assembly / chain-matricial / chain-itinerary / LEFStablyFiniteInterface all closed); key graded by ct-return-tower or ms-core-1 formalized rows (04240efed))		chain-reflection: tex 1527-1528, "A unital homomorphism to a directly finite ring kills every d in eq:clopen-defect-pair, hence all of I by Lemma lem:transient-matrices"; KillsKernelOfDirectlyFinite is the consumed shape
SKIP	chain-subshift	f7c8d8aab016	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.ChainCore.retainedSubshift_succ_subset GroupApproximation.ChainCore.retainedSubshift_antitone GroupApproximation.ChainCore.reflTransGen_init GroupApproximation.ChainCore.wordEdge_init (ms-core-1 sweep 09-13: stale partial (nonemptiness closed: coreSubshift_nonempty, retainedSubshift_nonempty); key graded by ms-traces-3 and ms-core-1 formalized rows (04240efed))		chain-subshift: tex 1402 (proof of lem:chain-core-models), "It is nonempty, and $Z_{r+1}\subseteq Z_r$, since a higher-level cycle projects to a closed walk at a lower level." The inclusion is proved along the printed ro
SKIP	chain-subshift	ded9e9646e4b	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.ChainCore.coreSubshift_subset GroupApproximation.ChainCore.mem_of_forall_finset_agree (ms-core-1 sweep 09-13: stale partial (nonemptiness closed: coreSubshift_nonempty, retainedSubshift_nonempty); key graded by ms-traces-3 and ms-core-1 formalized rows (04240efed))		chain-subshift: tex 1402 (proof of lem:chain-core-models), "Compactness makes $Y_0$ nonempty, and all its words belong to $X$, so $Y_0\subseteq X$." coreSubshift_subset proves Y_0 ⊆ X along the printed route: every word
SKIP	ct-bilateral-mf	LINE:1599	-	-	-	partial	census override SUPERSEDE	a later row of the lane at this key, already replaced		ct-bilateral-mf: tex 1541-1602, prop:bilateral-three over its two remaining pieces ClopenCrossedProductDirectlyFiniteLEFStatement and ClopenCrossedProductNonzeroDefectStatement; the cell (bilateralThreeCellStatement, 41d
SKIP	hull-euler	d8e1a694d87c	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.Dynamics.isClosed_chainRecurrentSet GroupApproximation.Dynamics.image_chainRecurrentSet GroupApproximation.Dynamics.apply_mem_chainRecurrentSet_iff (ms-core-1 sweep 09-13: stale partial (nonemptiness closed by printedChainCoreModelsFirstSentence; Y subset Y_* applied by chainRecurrentSet_subset_generalCore); key graded by ms-core-2 or ms-core-1 formalized rows)		hull-euler: lem:chain-core-models "The set $Y$ is nonempty, closed and invariant, and $R_Y$ is LEF." Covers the closed and invariant parts. By the lead's ruling 09-13 16:20, nonemptiness comes from chain-subshift's coreS
SKIP	hull-euler	c99bf0bdb029	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.Dynamics.mapsTo_chainRecurrentSet (ms-core-1 sweep 09-13: stale partial (nonemptiness closed by printedChainCoreModelsFirstSentence; Y subset Y_* applied by chainRecurrentSet_subset_generalCore); key graded by ms-core-2 or ms-core-1 formalized rows)		hull-euler: proof of lem:chain-core-models "Chain recurrence passes to factors, so $Y\subseteq Y_*$." Covers the first clause, for a continuous semiconjugacy over compact X. The inclusion $Y\subseteq Y_*$ for the itinera
