# prounipotent_step_certify.py, degree 6, run on frontier-L14.txt, frontier-L15.txt (amalgam-segment-steps-2026-09-17) and w313-L15.txt
# 'open' with no reason: no letter of exponent sum 0 in the given basis; after a Nielsen move the rewrite has e = (0, +-2, 0) (all 10 such L14 words)
AAABBABabAbaaB open 
AABaBAAbaBABab open 
AAAbbAbaBABaab open 
AAABaabAbaBABB open 
AAABaabbabbaaB open 
AABaabAAbaBBaB open S1 fails: e=[0, -2, 0]
AABaabAbbAbaaB open S1 fails: e=[0, 2, 0]
AABaabABBAbaaB open S1 fails: e=[0, -2, 0]
AABaaBAAbaBBab open S1 fails: e=[0, -2, 0]
AABaaBAbbAbaab open S1 fails: e=[0, 2, 0]
AABaaBABBAbaab open S1 fails: e=[0, -2, 0]
AABAbbaBBabbAB open S1 fails: e=[0, -2, 0]
AABAbbABBabbaB open S1 fails: e=[0, -2, 0]
AAAbaaBABabAbb open 
AAAbaaBBaBBaab open 
AABabAAbaBAAbb open 
AABabAABBAAbaB open 
AABabAbaBAAbab open 
# amalgam-segment-steps-2026-09-17/frontier-L14.txt: 18 words, rule S certifies 0, degree 6
AABBaabAbABaabb CERT rule-S t=a e=[3, 1, -3] occ=[3, 1, 3] free-letter=a_1 detT=-1 relation-checked-to-degree=6
AABBaabABABaabb CERT rule-S t=a e=[3, -1, -3] occ=[3, 1, 3] free-letter=a_1 detT=-1 relation-checked-to-degree=6
AABBaabbAAbabab CERT rule-S t=a e=[3, 1, -1] occ=[3, 1, 3] free-letter=a_1 detT=-3 relation-checked-to-degree=6
AABBaabbAAbabaB CERT rule-S t=a e=[1, 1, -1] occ=[3, 1, 3] free-letter=a_1 detT=-1 relation-checked-to-degree=6
AABBaabbAAbaBab CERT rule-S t=a e=[3, -1, -1] occ=[3, 1, 3] free-letter=a_1 detT=-3 relation-checked-to-degree=6
AABBaabbAAbaBaB CERT rule-S t=a e=[1, -1, -1] occ=[3, 1, 3] free-letter=a_1 detT=-1 relation-checked-to-degree=6
AABBaabbAbABaaB CERT rule-S t=a e=[1, 1, -3] occ=[3, 1, 3] free-letter=a_1 detT=-1/3 relation-checked-to-degree=6
AABBaabbABABaab CERT rule-S t=a e=[3, -1, -3] occ=[3, 1, 3] free-letter=a_1 detT=-1 relation-checked-to-degree=6
AABBaabbABABaaB CERT rule-S t=a e=[1, -1, -3] occ=[3, 1, 3] free-letter=a_1 detT=-1/3 relation-checked-to-degree=6
AABBaabbABBabAb CERT rule-S t=b e=[-3, -1, 3] occ=[3, 1, 3] free-letter=a_1 detT=-1 relation-checked-to-degree=6
AABBaaBAbABaabb CERT rule-S t=a e=[1, 1, -3] occ=[3, 1, 3] free-letter=a_1 detT=-1/3 relation-checked-to-degree=6
AABBaaBABABaabb CERT rule-S t=a e=[1, -1, -3] occ=[3, 1, 3] free-letter=a_1 detT=-1/3 relation-checked-to-degree=6
AABBaaBBAAbabab CERT rule-S t=a e=[-1, 1, -1] occ=[3, 1, 3] free-letter=a_1 detT=1 relation-checked-to-degree=6
AABBaaBBAAbabaB CERT rule-S t=a e=[-3, 1, -1] occ=[3, 1, 3] free-letter=a_1 detT=3 relation-checked-to-degree=6
AABBaaBBAAbaBab CERT rule-S t=a e=[-1, -1, -1] occ=[3, 1, 3] free-letter=a_1 detT=1 relation-checked-to-degree=6
AABBaaBBAAbaBaB CERT rule-S t=a e=[-3, -1, -1] occ=[3, 1, 3] free-letter=a_1 detT=3 relation-checked-to-degree=6
