# GENERATED by scripts/sentence_census.py -- do not edit.
# Edit metadata/NON_MF_SENTENCE_MAP.tsv and regenerate.
key	line	section	env	label	status	decls	sentence
484fb42ed361	115		abstract		structural		These notes collect further results and variants surrounding the explicit group constructed in \emph{A non-MF group}.
22ed4f689d1d	115		abstract		structural		They include weighted Kazhdan transport, general obstruction criteria, MF-residual computations, the sign-free quotient, soficity and trace consequences, torsion-free examples, logical applications, limitations, and additional operator-algebraic consequences.
26368688f2f3	115		abstract		structural	-	They also record the literal presentation and affine certificate for the group defined conceptually in the main paper.
3391aa5286de	115		abstract		structural	-	The central-sign construction and the proof that the group is non-MF remain there.
3e381617cb75	133	A literal presentation and affine certificate		sec:literal-presentation	structural	-	The main paper defines $E$ conceptually from the affine group $\mathbb Z^3\rtimes\SL_3(\mathbb Z)$ and the doubling endomorphism.
a50bc265290f	133	A literal presentation and affine certificate		sec:literal-presentation	structural	-	For reference, this section records the literal presentation used by the Lean development and an explicit matrix certificate for its affine base.
6d04838a0e64	138	A literal presentation and affine certificate		sec:literal-presentation	definition	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation	First define the \emph{linear presentation}
e7979d03ce61	146	A literal presentation and affine certificate		sec:literal-presentation	definition	GroupApproximation.LiteralBaseCompleteness.baseAffineEquiv	and the \emph{base}
df14b33d75ac	160	A literal presentation and affine certificate		sec:literal-presentation	definition	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation GroupApproximation.LiteralBaseCompleteness.baseAffineEquiv	Write $\iota\colon\mathcal B\to E$ for the homomorphism induced by the first six generators of the presentation below.
283c7cd7fc2f	164	A literal presentation and affine certificate	definition	def:E	formalized	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation	Use the six base generators and the relations displayed in \eqref{eq:gamma-presentation}.
f715fd227cc1	164	A literal presentation and affine certificate	definition	def:E	formalized	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation	Define
d4a8353b1f3e	179	A literal presentation and affine certificate	definition	def:E	formalized	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation	where $w$ abbreviates the word $\bigl[\,tct^{-1},\,v_1(tct^{-1})v_1^{-1}\bigr]$.
5f6d01dc3b55	179	A literal presentation and affine certificate	definition	def:E	formalized	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation	This is an explicit finite presentation with eight generators and forty-one relators: twenty in family~\textup{(B)}, six in family~\textup{(T)}, seven in family~\textup{(C)}, and eight in family~\textup{(W)}.
7bdd56a67e96	179	A literal presentation and affine certificate	definition	def:E	formalized	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation	Centrality of $w$ together with $c^2=1$ implies $w^2=1$ by \eqref{paper-eq:involution-reversal}.
e6a773fe7ae4	179	A literal presentation and affine certificate	definition	def:E	formalized	GroupApproximation.LiteralNonMFPresentation.manuscriptLiteralPresentation	Families~\textup{(T)} and~\textup{(C)} give, respectively,
cfc2c8a9876d	195	A literal presentation and affine certificate		def:E	ledger	GP.03 BT.24	Under the identification of Remark~\ref{rem:classical-base}, the relations in families~\textup{(T)}, \textup{(C)}, and \textup{(W)} are exactly the relative construction of Theorem~\ref{paper-thm:kazhdan-clifford} for the affine data \eqref{paper-eq:affine-data}.
7ca5504dea91	195	A literal presentation and affine certificate		def:E	ledger	GP.03 BT.24	Thus this literal presentation defines the same group $E$ as the main paper.
4955bce3c162	205	Property~\textup{(T)	proposition	prop:literal-base-T	formalized	GroupApproximation.LiteralBaseP13PropertyTBridge.manuscriptBaseHasKazhdanPropertyT	The twenty-relator group $\mathcal B$ has property~\textup{(T)}, in both the real-orthogonal and complex-unitary formulations.
4945b1ac49fa	211	Property~\textup{(T)	proof	prop:literal-base-T	attribution	-	By Remark~\ref{rem:classical-base} the presentation \eqref{eq:gamma-presentation} defines $\mathbb Z^3\rtimes\SL_3(\mathbb Z)$, which has property~\textup{(T)} \cite[Corollary~1.4.16 and Theorem~1.7.1]{BHV}.
009e942c53d2	211	Property~\textup{(T)	proof	prop:literal-base-T	ledger	BT.15	Let $\rho$ be an orthogonal representation on a real Hilbert space $H_{\mathbb R}$.
fd920f330354	211	Property~\textup{(T)	proof	prop:literal-base-T	ledger	BT.15	Its complexification $H_{\mathbb R}\otimes_{\mathbb R}\mathbb C$ has the unitary representation $\rho\otimes1$.
ebad74e0e846	211	Property~\textup{(T)	proof	prop:literal-base-T	ledger	BT.15	The invariant vectors and displacement norms are those of $\rho$ in each real coordinate, so every Kazhdan pair for the unitary formulation is also one for the orthogonal formulation.
032eda47335c	223	Property~\textup{(T)	remark	rem:classical-base	formalized	GroupApproximation.LiteralBaseCompleteness.baseAffineEquiv	The eight relations \eqref{eq:sl3presentation} present $\SL_3(\mathbb Z)$ \cite[Theorem~2]{CRW}; the corresponding matrices are also recorded in \cite{CLV}.
c8f6ae249256	223	Property~\textup{(T)	remark	rem:classical-base	formalized	GroupApproximation.LiteralBaseCompleteness.baseAffineEquiv	Hence $\mathcal B\cong\mathbb Z^3\rtimes\SL_3(\mathbb Z)$, and the surjection $\mathcal B\to\bar\Gamma$ of Lemma~\ref{lem:linear} onto the matrix realization is an isomorphism.
96defc92556f	233	Property~\textup{(T)	lemma	lem:linear	formalized	GroupApproximation.ManuscriptExactWrappers.manuscriptLinearModel	For $M\in\GL_3(\mathbb Q)$ and $u\in\mathbb Q^3$, write
86ae847fd12a	237	Property~\textup{(T)	lemma	lem:linear	formalized	GroupApproximation.ManuscriptExactWrappers.manuscriptLinearModel	Assign $v_i\mapsto A(I_3,e_i)$ and
19d4ddc36953	245	Property~\textup{(T)	lemma	lem:linear	formalized	GroupApproximation.ManuscriptExactWrappers.manuscriptLinearModel	Let $\bar\Gamma\le\GL_4(\mathbb Q)$ be the subgroup generated by these six matrices, and put $D=\operatorname{diag}(2,2,2,1)$.
76b3d31713d0	245	Property~\textup{(T)	lemma	lem:linear	formalized	GroupApproximation.ManuscriptExactWrappers.manuscriptLinearModel	The six matrices satisfy all twenty relators of $\mathcal B$, and
fb9935febf44	252	Property~\textup{(T)	lemma	lem:linear	formalized	GroupApproximation.ManuscriptExactWrappers.manuscriptLinearModel	is an injective endomorphism of $\bar\Gamma$ which squares the three translation generators and fixes $x,y,z$.
99baa09b2d68	252	Property~\textup{(T)	lemma	lem:linear	formalized	GroupApproximation.ManuscriptExactWrappers.manuscriptLinearModel	Moreover the matrix assigned to $v_1$ does not lie in $\operatorname{range}(\bar\alpha)$.
9e56ff730a0c	259	Property~\textup{(T)	proof	lem:linear	ledger	WI.05	Each of the twenty relators reduces to an equality between explicit $4\times4$ rational matrices.
4d21c3594ca6	259	Property~\textup{(T)	proof	lem:linear	ledger	WI.06	Conjugation by $D$ gives the six stable-letter equations and is injective because it is conjugation by an invertible matrix.
bf4993b88f52	259	Property~\textup{(T)	proof	lem:linear	ledger	WI.08	Every displayed generator and its explicitly computed inverse has integral entries; equivalently, all six generators lie in $\GL_4(\mathbb Z)$.
decba07ed25b	259	Property~\textup{(T)	proof	lem:linear	ledger	WI.08	Hence $\bar\Gamma\le\GL_4(\mathbb Z)$.
9e0b0df9fd3b	259	Property~\textup{(T)	proof	lem:linear	ledger	WI.07 WI.08	However $D^{-1}\bar v_1D$ has entry $1/2$ in position $(1,4)$, so it is not in $\bar\Gamma$.
