AAABBABabAbaaB  r'=X0X1X2X1x0X1x2x1   e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, -1), 0) a3=((0, 0), 1)
AABaBAAbaBABab  r'=X1X2x1X0X1x2X1x0   e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 0), 0) a3=((0, 0), -1)
AAAbbAbaBABaab  r'=X2X1X0X1x2X1x0x1   e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 1), 0) a3=((0, 0), 1)
AAABaabAbaBABB  r'=X0X1X2x1x0X1x2X1   e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, -1), 0) a3=((0, 0), 1)
AAABaabbabbaaB  r'=X0X1X2x1x0x1x2x1   e=[0, 2, 0] kill-lo=x1x1(True) kill-hi=x1x1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, 0), 0) a3=((0, 0), -1)
AABaabAAbaBBaB  r'=X0x2x0X1X1X2       e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, 1), 0) a3=((0, 0), 1)
AABaabAbbAbaaB  r'=X0x2x1x1x0X2       e=[0, 2, 0] kill-lo=x1x1(True) kill-hi=x1x1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, 0), 0) a3=((0, 0), -1)
AABaabABBAbaaB  r'=X0x2X1X1x0X2       e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 0), 0) a3=((0, 0), -1)
AABaaBAAbaBBab  r'=X0X2x0X1X1x2       e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 0), 0) a3=((0, 0), -1)
AABaaBAbbAbaab  r'=X0X2x1x1x0x2       e=[0, 2, 0] kill-lo=x1x1(True) kill-hi=x1x1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 1), 0) a3=((0, 0), 1)
AABaaBABBAbaab  r'=X0X2X1X1x0x2       e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, -1), 0) a3=((0, 0), 1)
AABAbbaBBabbAB  r'=X1X1X0x2x0X2       e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, 0), 0) a3=((0, 0), -1)
AABAbbABBabbaB  r'=X1X1X0X2x0x2       e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, -1), 0) a3=((0, 0), 1)
AAAbaaBABabAbb  r'=X2X1X0x1x2X1x0X1   e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[3, 4], [2, 3]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, 1), 0) a3=((0, 0), 1)
AAAbaaBBaBBaab  r'=X2X1X0x1x2x1x0x1   e=[0, 2, 0] kill-lo=x1x1(True) kill-hi=x1x1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((-1, 0), 0) a3=((0, 0), -1)
AABabAAbaBAAbb  r'=X0x1x1X2x0x2       e=[0, 2, 0] kill-lo=x1x1(True) kill-hi=x1x1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 0), 0) a3=((0, 0), -1)
AABabAABBAAbaB  r'=X1x2X0X2x0X1       e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 0), 0) a3=((0, 0), -1)
AABabAbaBAAbab  r'=X2X1x0X1x2X1X0x1   e=[0, -2, 0] kill-lo=X1X1(True) kill-hi=X1X1(True) sol: B=[[-1, 0], [0, -1]] a0=((0, 0), -1) a1=((1, 0), 0) a2=((1, 0), 0) a3=((0, 0), -1)
