# overrides.tsv   (census lane; rows the lead has ruled on, or whose LINE key the text match cannot separate)
#   lane<TAB>given key<TAB>replacement key
#   lane<TAB>given key<TAB>DROP<TAB>declarations (space-separated full names)<TAB>reason
# Re-keys: the row's note quotes the replacement sentence; the text match lost only on margin (merge 0913-014017).
jacobson	LINE:1147	b6d1590be7ab
sec3-sentences	LINE:837	bd35898b630c
# Re-key (merge 0913-141044): the note cites Hull Corollary 7.4, and dab2f2bfe084 is the only census sentence citing it;
# the text match was ambiguous (0.37 / 0.25 / 0.17).
baseline-debt	LINE:1682	dab2f2bfe084
# Retirements, lead ruling 2026-09-13 on the debt-conditional classification (notes/nm-swarm/reports/debt-conditional.md,
# groups B and C; baseline lines at 87790c4fa): historical quasi-geodesic or unbounded Lemma 4.4 carriers, superseded by
# the landed four-leaf replacements (sec5-sentences rows 27-30, nm-endpoints printedHullTheorem*_of_fourLeaves and
# fournierFacioQuotient_of_fourLeaves).
sec5-sentences	LINE:1636	DROP	GroupApproximation.Manuscript.NonMF.TorsionFreeHullPrintedGeneral.printedHullSmallCancellationCurrent_of_lemma44_of_lemma49	lead ruling 09-13: unbounded Lemma 4.4 carrier, superseded by nm-endpoints printedHullTheorem*_of_fourLeaves
sec5-sentences	LINE:1644	DROP	GroupApproximation.Manuscript.NonMF.TorsionFreeHullParagraphGeneral.manuscriptSentence_hullOneTargetOneRelatorGeneral_of_oneStep GroupApproximation.Manuscript.NonMF.TorsionFreeHullParagraphGeneral.manuscriptSentence_hullInductionOnTargetsGeneral_of_oneStep GroupApproximation.HullSC.hullTowerGeneral_of_oneStep GroupApproximation.Manuscript.NonMF.TorsionFreeSectionSentences.manuscriptSentence_hullKernelRemark	lead ruling 09-13: one-step intermediates, superseded by sec5-sentences row 27 printedHullProofParagraph_of_fourLeaves
sec5-sentences	LINE:1662	DROP	GroupApproximation.Manuscript.NonMF.TorsionFreeSectionSentences.manuscriptSentence_saturationPairAndHullAgain_of_leaves	lead ruling 09-13: historical quasi-geodesic leaves, superseded by sec5-sentences row 28 printedSaturationPairAndHullAgain_of_fourLeaves
sec5-sentences	LINE:1665	DROP	GroupApproximation.Manuscript.NonMF.TorsionFreeSectionSentences.manuscriptSentence_saturationApplyHullNoOmega_of_leaves	lead ruling 09-13: historical quasi-geodesic leaves, superseded by sec5-sentences row 29 printedSaturationApplyHull_of_fourLeaves
sec5-sentences	LINE:1698	DROP	GroupApproximation.Manuscript.NonMF.TorsionFreeSectionSentences.manuscriptSentence_theoremApplySaturationNoOmega_of_leaves	lead ruling 09-13: historical quasi-geodesic leaves, superseded by sec5-sentences row 30 printedTheoremApplySaturation_of_fourLeaves
hull-respell	LINE:1636	DROP	GroupApproximation.HullSC.hullOneStepStatement_of_quasiGeodesicLeaves GroupApproximation.HullSC.hullBallFormNG_of_quasiGeodesicLeaves GroupApproximation.HullSC.hullInputsCorrected_of_quasiGeodesicLeaves	lead ruling 09-13: historical quasi-geodesic leaves, superseded by nm-endpoints printedHullTheorem*_of_fourLeaves
hull-respell	LINE:1644	DROP	GroupApproximation.HullSC.hullOneStepStatement_of_quasiGeodesicLeaves GroupApproximation.HullSC.hullBallFormNG_of_quasiGeodesicLeaves	lead ruling 09-13: historical quasi-geodesic leaves, superseded by sec5-sentences row 27 printedHullProofParagraph_of_fourLeaves
hull-respell	LINE:1675	DROP	GroupApproximation.GGT.RelHyp.osin24HullStep_of_boundedLeaves	lead ruling 09-13: bounded-leaf Osin 2.4 step, superseded by nm-endpoints fournierFacioQuotient_of_fourLeaves
chain-itinerary	fe2bd83087c0	DROP	GroupApproximation.ChainCore.itinerary GroupApproximation.ChainCore.itinerarySubshift GroupApproximation.ChainCore.oneBlock GroupApproximation.ChainCore.continuous_itinerary GroupApproximation.ChainCore.itinerary_zpow_apply GroupApproximation.ChainCore.isClosed_itinerarySubshift GroupApproximation.ChainCore.mapsTo_shift_itinerarySubshift GroupApproximation.ChainCore.continuous_oneBlock GroupApproximation.ChainCore.oneBlock_shift GroupApproximation.ChainCore.oneBlock_itinerary GroupApproximation.ChainCore.oneBlock_image_itinerarySubshift	census successor ms-cite-2 09-13: chain-itinerary is down; ms-compress-1 re-graded this row at bd7b20b28, carrying its residual (the cores Y_m, now itineraryCore), and its row now grades the sentence
chain-itinerary	ed348643e2ad	DROP	GroupApproximation.ChainCore.inverseLimitCore GroupApproximation.ChainCore.mem_inverseLimitCore GroupApproximation.ChainCore.isClosed_inverseLimitCore GroupApproximation.ChainCore.itinerary_mem_of_le GroupApproximation.ChainCore.preimage_itinerary_antitone GroupApproximation.ChainCore.mapsTo_zpow_inverseLimitCore	census successor ms-cite-2 09-13: chain-itinerary is down; ms-compress-1 re-graded this row at bd7b20b28, carrying its residual (rho_lm(Y_l) subset Y_m, now oneBlock_image_itineraryCore_subset), and its row now grades the sentence
